chr_name	start	end	val	color
chr1	10001	15001	0.59	pink
chr1	15006	20001	0.6	pink
chr1	20006	25001	0.53	pink
chr1	25006	30001	0.5	pink
chr1	30006	35001	0.46	pink
chr1	35006	40001	0.48	pink
chr1	40006	45001	0.36	pink
chr1	45006	50001	0.35	pink
chr1	50006	55001	0.37	pink
chr1	55006	60001	0.36	pink
chr1	60006	65001	0.34	pink
chr1	65006	70001	0.32	pink
chr1	70006	75001	0.36	pink
chr1	75006	80001	0.4	pink
chr1	80006	85001	0.34	pink
chr1	85006	90001	0.41	pink
chr1	90006	95001	0.46	pink
chr1	95006	100001	0.41	pink
chr1	100006	105001	0.42	pink
chr1	105006	110001	0.38	pink
chr1	110006	115001	0.37	pink
chr1	115006	120001	0.33	pink
chr1	120006	125001	0.35	pink
chr1	125006	130001	0.35	pink
chr1	130006	135001	0.55	pink
chr1	135006	140001	0.63	pink
chr1	140006	145001	0.46	pink
chr1	145006	150001	0.45	pink
chr1	150006	155001	0.47	pink
chr1	155006	160001	0.42	pink
chr1	160006	165001	0.43	pink
chr1	165006	170001	0.44	pink
chr1	170006	175001	0.49	pink
chr1	175006	6518721	0.5	pink
chr1	6518726	6523721	0.59	pink
chr1	6523726	6528721	0.61	pink
chr1	6528726	6533721	0.63	pink
chr1	6533726	6538721	0.58	pink
chr1	6538726	6543721	0.51	pink
chr1	6543726	6548721	0.62	pink
chr1	6548726	6553721	0.61	pink
chr1	6553726	6558721	0.61	pink
chr1	6558726	6563721	0.58	pink
chr1	6563726	6568721	0.62	pink
chr1	6568726	6573721	0.61	pink
chr1	6573726	6578721	0.49	pink
chr1	6578726	6583721	0.5	pink
chr1	6583726	6588721	0.49	pink
chr1	6588726	6593721	0.48	pink
chr1	6593726	6598721	0.45	pink
chr1	6598726	6603721	0.47	pink
chr1	6603726	6608721	0.47	pink
chr1	6608726	6613721	0.48	pink
chr1	6613726	6618721	0.54	pink
chr1	6618726	6623721	0.51	pink
chr1	6623726	6628721	0.51	pink
chr1	6628726	6633721	0.53	pink
chr1	6633726	6638721	0.55	pink
chr1	6638726	6643721	0.57	pink
chr1	6643726	6648721	0.58	pink
chr1	6648726	6653721	0.57	pink
chr1	6653726	6658721	0.54	pink
chr1	6658726	6663721	0.61	pink
chr1	6663726	6668721	0.46	pink
chr1	6668726	6673721	0.5	pink
chr1	6673726	6678721	0.59	pink
chr1	6678726	6683721	0.51	pink
chr1	6683726	6688721	0.56	pink
chr1	6688726	6693721	0.56	pink
chr1	6693726	6698721	0.55	pink
chr1	6698726	6703721	0.48	pink
chr1	6703726	6708721	0.51	pink
chr1	6708726	6713721	0.51	pink
chr1	6713726	6718721	0.43	pink
chr1	6718726	6723721	0.46	pink
chr1	6723726	6728721	0.49	pink
chr1	6728726	6733721	0.45	pink
chr1	6733726	6738721	0.44	pink
chr1	6738726	6743721	0.43	pink
chr1	6743726	6748721	0.39	pink
chr1	6748726	6753721	0.44	pink
chr1	6753726	6758721	0.45	pink
chr1	6758726	6763721	0.52	pink
chr1	6763726	6768721	0.47	pink
chr1	6768726	6773721	0.44	pink
chr1	6773726	6778721	0.52	pink
chr1	6778726	6783721	0.47	pink
chr1	6783726	6788721	0.49	pink
chr1	6788726	6793721	0.44	pink
chr1	6793726	6798721	0.48	pink
chr1	6798726	6803721	0.46	pink
chr1	6803726	6808721	0.47	pink
chr1	6808726	6813721	0.43	pink
chr1	6813726	6818721	0.46	pink
chr1	6818726	6823721	0.49	pink
chr1	6823726	6828721	0.43	pink
chr1	6828726	6833721	0.47	pink
chr1	6833726	6838721	0.45	pink
chr1	6838726	6843721	0.45	pink
chr1	6843726	6848721	0.57	pink
chr1	6848726	6853721	0.4	pink
chr1	6853726	6858721	0.39	pink
chr1	6858726	6863721	0.43	pink
chr1	6863726	6868721	0.4	pink
chr1	6868726	6873721	0.43	pink
chr1	6873726	6878721	0.42	pink
chr1	6878726	6883721	0.36	pink
chr1	6883726	6888721	0.36	pink
chr1	6888726	6893721	0.4	pink
chr1	6893726	6898721	0.44	pink
chr1	6898726	6903721	0.46	pink
chr1	6903726	6908721	0.42	pink
