chr_name	start	end	val	color	gene
chr1	14409	14409	1	lightgray	DDX11L1
chr1	17436	17436	1	lightgray	MIR6859-1
chr1	29370	29370	1	lightgray	WASH7P
chr1	30503	30503	1	lightgray	MIR1302-2
chr1	36081	36081	1	lightgray	FAM138A
chr1	65564	70008	1	lightgray	OR4F5
chr1	140566	140566	1	lightgray	LOC729737
chr1	184878	184878	1	lightgray	DDX11L17
chr1	450739	451678	1	lightgray	OR4F29
chr1	495445	495445	1	lightgray	LOC100132287
chr1	629009	629009	1	lightgray	LOC101928626
chr1	632685	632685	1	lightgray	MIR12136
chr1	685715	686654	1	lightgray	OR4F16
chr1	778634	778634	1	lightgray	LOC100288069
chr1	819834	819834	1	lightgray	FAM87B
chr1	827522	827522	1	lightgray	LINC00115
chr1	843604	843604	1	lightgray	LINC01128
chr1	859446	859446	1	lightgray	LINC01128
chr1	859446	859446	1	lightgray	LINC01128
chr1	859446	859446	1	lightgray	LINC01128
chr1	859446	859446	1	lightgray	LINC01128
chr1	859446	859446	1	lightgray	LINC01128
chr1	876802	876802	1	lightgray	FAM41C
chr1	919692	919692	1	lightgray	LINC02593
chr1	919692	919692	1	lightgray	LINC02593
chr1	924431	944153	1	lightgray	SAMD11
chr1	924431	944153	1	lightgray	SAMD11
chr1	925604	925604	1	lightgray	LOC107985728
chr1	925941	944153	1	lightgray	SAMD11
chr1	944693	959240	1	lightgray	NOC2L
chr1	960693	965191	1	lightgray	KLHL17
chr1	966531	974575	1	lightgray	PLEKHN1
chr1	966531	974575	1	lightgray	PLEKHN1
chr1	966531	974575	1	lightgray	PLEKHN1
chr1	976171	981029	1	lightgray	PERM1
chr1	976171	981029	1	lightgray	PERM1
chr1	976171	981029	1	lightgray	PERM1
chr1	976171	981029	1	lightgray	PERM1
chr1	976171	981166	1	lightgray	PERM1
chr1	999058	999973	1	lightgray	HES4
chr1	999058	999973	1	lightgray	HES4
chr1	1013573	1014478	1	lightgray	ISG15
chr1	1020172	1054981	1	lightgray	AGRN
chr1	1020172	1054981	1	lightgray	AGRN
chr1	1034555	1054981	1	lightgray	AGRN
chr1	1066453	1066453	1	lightgray	LOC100288175
chr1	1069337	1069337	1	lightgray	LOC105378948
chr1	1069337	1069337	1	lightgray	LOC105378948
chr1	1071816	1072566	1	lightgray	RNF223
chr1	1082892	1091543	1	lightgray	C1orf159
chr1	1082892	1091543	1	lightgray	C1orf159
chr1	1082892	1091543	1	lightgray	C1orf159
chr1	1144056	1144056	1	lightgray	LINC01342
chr1	1167198	1167198	1	lightgray	MIR200B
chr1	1167952	1167952	1	lightgray	MIR200A
chr1	1169087	1169087	1	lightgray	MIR429
chr1	1179215	1197847	1	lightgray	TTLL10
chr1	1179215	1197847	1	lightgray	TTLL10
chr1	1179555	1179555	1	lightgray	TTLL10-AS1
chr1	1180053	1185142	1	lightgray	TTLL10
chr1	1203590	1206571	1	lightgray	TNFRSF18
chr1	1203843	1206571	1	lightgray	TNFRSF18
chr1	1203843	1206571	1	lightgray	TNFRSF18
chr1	1211554	1214127	1	lightgray	TNFRSF4
chr1	1217511	1228772	1	lightgray	SDF4
chr1	1217669	1228772	1	lightgray	SDF4
chr1	1232278	1233268	1	lightgray	B3GALT6
chr1	1242547	1246690	1	lightgray	C1QTNF12
chr1	1255202	1263361	1	lightgray	UBE2J2
chr1	1255202	1263361	1	lightgray	UBE2J2
chr1	1255202	1267992	1	lightgray	UBE2J2
chr1	1255202	1267992	1	lightgray	UBE2J2
chr1	1280661	1291610	1	lightgray	SCNN1D
chr1	1292025	1292025	1	lightgray	SCNN1D
chr1	1293563	1307815	1	lightgray	ACAP3
chr1	1296170	1296170	1	lightgray	MIR6726
chr1	1304812	1304812	1	lightgray	SNORD167
chr1	1308643	1311379	1	lightgray	PUSL1
chr1	1308643	1311379	1	lightgray	PUSL1
chr1	1311677	1311677	1	lightgray	PUSL1
chr1	1311858	1321034	1	lightgray	INTS11
chr1	1311858	1321953	1	lightgray	INTS11
chr1	1311858	1324608	1	lightgray	INTS11
chr1	1311858	1324608	1	lightgray	INTS11
chr1	1311858	1324608	1	lightgray	INTS11
chr1	1312566	1312566	1	lightgray	MIR6727
chr1	1326910	1327763	1	lightgray	CPTP
chr1	1331345	1334464	1	lightgray	TAS1R3
chr1	1336141	1349065	1	lightgray	DVL1
chr1	1336141	1349065	1	lightgray	DVL1
chr1	1339708	1339708	1	lightgray	MIR6808
chr1	1353300	1358504	1	lightgray	MXRA8
chr1	1353603	1358504	1	lightgray	MXRA8
chr1	1353603	1358504	1	lightgray	MXRA8
