chr_name	start	end	val	color
chr1	10001	5000001	0.5	blue
chr1	5000006	10000001	0.48	blue
chr1	10000006	15000001	0.45	blue
chr1	15000006	20000001	0.49	blue
chr1	20000006	25000001	0.47	blue
chr1	25000006	30028081	0.46	blue
chr1	30028086	35000001	0.47	blue
chr1	35000006	40000001	0.46	blue
chr1	40000006	45000001	0.45	blue
chr1	45000006	50000001	0.44	blue
chr1	50000006	55000001	0.43	blue
chr1	55000006	60000001	0.42	blue
chr1	60000006	65000001	0.4	blue
chr1	65000006	70000001	0.39	blue
chr1	70000006	75000001	0.36	blue
chr1	75000006	80000001	0.38	blue
chr1	80000006	85000001	0.36	blue
chr1	85000006	90000001	0.39	blue
chr1	90000006	95000001	0.4	blue
chr1	95000006	100000001	0.37	blue
chr1	100000006	105000001	0.36	blue
chr1	105000006	110000001	0.37	blue
chr1	110000006	115000001	0.43	blue
chr1	115000006	120000001	0.41	blue
chr1	120000006	142535431	0.02	blue
chr1	142535451	145000001	0.28	blue
chr1	145000006	150000001	0.37	blue
chr1	150000006	155000001	0.45	blue
chr1	155000006	160000001	0.44	blue
chr1	160000006	165000001	0.41	blue
chr1	165000006	170000001	0.41	blue
chr1	170000006	175000001	0.39	blue
chr1	175000006	180000001	0.41	blue
chr1	180000006	185000001	0.41	blue
chr1	185000006	190000001	0.36	blue
chr1	190000006	195000001	0.35	blue
chr1	195000006	200000001	0.36	blue
chr1	200000006	205000001	0.46	blue
chr1	205000006	210000001	0.41	blue
chr1	210000006	215000001	0.42	blue
chr1	215000006	220000001	0.38	blue
chr1	220000006	225000001	0.41	blue
chr1	225000006	230000001	0.45	blue
chr1	230000006	235000001	0.42	blue
chr1	235000006	240000001	0.4	blue
chr1	240000006	245000001	0.4	blue
chr2	10001	5000001	0.44	blue
chr2	5000006	10000001	0.41	blue
chr2	10000006	15000001	0.42	blue
chr2	15000006	20000001	0.4	blue
chr2	20000006	25000001	0.41	blue
chr2	25000006	30000001	0.45	blue
chr2	30000006	35000001	0.41	blue
chr2	35000006	40000001	0.39	blue
chr2	40000006	45000001	0.4	blue
chr2	45000006	50000001	0.42	blue
chr2	50000006	55000001	0.37	blue
chr2	55000006	60000001	0.37	blue
chr2	60000006	65000001	0.41	blue
chr2	65000006	70000001	0.41	blue
chr2	70000006	75000001	0.44	blue
chr2	75000006	80000001	0.37	blue
chr2	80000006	85000001	0.37	blue
chr2	85000006	90000001	0.41	blue
chr2	90000006	95326171	0.1	blue
chr2	95326176	100000001	0.44	blue
chr2	100000006	105000001	0.41	blue
chr2	105000006	110000001	0.42	blue
chr2	110000006	115000001	0.42	blue
chr2	115000006	120000001	0.39	blue
chr2	120000006	125000001	0.42	blue
chr2	125000006	130000001	0.42	blue
chr2	130000006	135000001	0.42	blue
chr2	135000006	140000001	0.39	blue
chr2	140000006	145000001	0.36	blue
chr2	145000006	150000001	0.36	blue
chr2	150000006	155000001	0.38	blue
chr2	155000006	160000001	0.37	blue
chr2	160000006	165000001	0.37	blue
chr2	165000006	170000001	0.37	blue
chr2	170000006	175000001	0.4	blue
chr2	175000006	180000001	0.39	blue
chr2	180000006	185000001	0.37	blue
chr2	185000006	190000001	0.35	blue
chr2	190000006	195000001	0.37	blue
chr2	195000006	200000001	0.37	blue
chr2	200000006	205000001	0.41	blue
chr2	205000006	210000001	0.4	blue
chr2	210000006	215000001	0.36	blue
chr2	215000006	220000001	0.43	blue
chr2	220000006	225000001	0.41	blue
chr2	225000006	230000001	0.39	blue
chr2	230000006	235000001	0.44	blue
chr2	235000006	240000001	0.46	blue
chr3	60001	5000001	0.38	blue
chr3	5000006	10000001	0.41	blue
chr3	10000006	15000001	0.47	blue
chr3	15000006	20000001	0.39	blue
chr3	20000006	25000001	0.38	blue
chr3	25000006	30000001	0.38	blue
chr3	30000006	35000001	0.4	blue
chr3	35000006	40000001	0.41	blue
chr3	40000006	45000001	0.42	blue
chr3	45000006	50000001	0.47	blue
chr3	50000006	55000001	0.46	blue
chr3	55000006	60000001	0.42	blue
chr3	60000006	65000001	0.4	blue
chr3	65000006	70000001	0.39	blue
chr3	70000006	75000001	0.4	blue
chr3	75000006	80000001	0.37	blue
chr3	80000006	85000001	0.35	blue
chr3	85000006	90000001	0.35	blue
chr3	90000006	95000001	0.15	blue
chr3	95000006	100000001	0.37	blue
chr3	100000006	105000001	0.37	blue
chr3	105000006	110000001	0.38	blue
chr3	110000006	115000001	0.38	blue
chr3	115000006	120000001	0.38	blue
chr3	120000006	125000001	0.42	blue
chr3	125000006	130000001	0.47	blue
chr3	130000006	135000001	0.41	blue
chr3	135000006	140000001	0.41	blue
chr3	140000006	145000001	0.39	blue
chr3	145000006	150000001	0.37	blue
chr3	150000006	155000001	0.38	blue
chr3	155000006	160000001	0.39	blue
chr3	160000006	165000001	0.36	blue
chr3	165000006	170000001	0.36	blue
chr3	170000006	175000001	0.38	blue
chr3	175000006	180000001	0.38	blue
chr3	180000006	185000001	0.41	blue
chr3	185000006	190000001	0.41	blue
chr3	190000006	195000001	0.4	blue
chr4	10001	5000001	0.49	blue
chr4	5000006	10000001	0.48	blue
chr4	10000006	15000001	0.4	blue
chr4	15000006	20000001	0.39	blue
chr4	20000006	25000001	0.38	blue
chr4	25000006	30000001	0.38	blue
chr4	30000006	35000001	0.35	blue
chr4	35000006	40000001	0.39	blue
chr4	40000006	45000001	0.39	blue
chr4	45000006	52660116	0.22	blue
chr4	52660121	55000001	0.4	blue
chr4	55000006	60000001	0.39	blue
chr4	60000006	65000001	0.35	blue
chr4	65000006	70000001	0.36	blue
chr4	70000006	75000001	0.37	blue
chr4	75000006	80000001	0.39	blue
chr4	80000006	85000001	0.38	blue
chr4	85000006	90000001	0.38	blue
chr4	90000006	95000001	0.36	blue
chr4	95000006	100000001	0.37	blue
chr4	100000006	105000001	0.37	blue
chr4	105000006	110000001	0.37	blue
chr4	110000006	115000001	0.38	blue
chr4	115000006	120000001	0.36	blue
chr4	120000006	125000001	0.38	blue
chr4	125000006	130000001	0.37	blue
chr4	130000006	135000001	0.35	blue
chr4	135000006	140000001	0.36	blue
chr4	140000006	145000001	0.39	blue
chr4	145000006	150000001	0.39	blue
chr4	150000006	155000001	0.39	blue
chr4	155000006	160000001	0.37	blue
chr4	160000006	165000001	0.36	blue
chr4	165000006	170000001	0.37	blue
chr4	170000006	175000001	0.37	blue
chr4	175000006	180000001	0.36	blue
chr4	180000006	185000001	0.39	blue
chr4	185000006	190000001	0.41	blue
chr5	10001	5000001	0.47	blue
chr5	5000006	10000001	0.41	blue
chr5	10000006	15000001	0.4	blue
chr5	15000006	20000001	0.38	blue
chr5	20000006	25000001	0.35	blue
chr5	25000006	30000001	0.35	blue
chr5	30000006	35000001	0.4	blue
chr5	35000006	40000001	0.39	blue
chr5	40000006	45000001	0.38	blue
chr5	45000006	50000001	0.15	blue
chr5	50000006	55000001	0.38	blue
chr5	55000006	60000001	0.39	blue
chr5	60000006	65000001	0.38	blue
